Effectively, you can | Basicamente, podemos
I came across a duplicate entry in the sheet. | Eu encontrei um lançamento duplicado na planilha.
I came across the same issue in another company. | Eu encontrei o mesmo problema em outra empresa.
I came across a value that doesn’t match the total. | Eu encontrei um valor que não bate com o total.
I came across an email that changes the scope. | Eu vi um e-mail que muda o escopo.
This request belongs to Payroll. | Essa solicitação é do time de Folha.
This approval belongs to the manager. | Essa aprovação é do gestor.
This report belongs to this month’s close. | Esse relatório é do fechamento deste mês.
This file belongs to the Finance folder. | Esse arquivo é da pasta do Financeiro.
This decision belongs to the project owner. | Essa decisão é do dono do projeto.
I knocked on HR’s door to confirm the employee data. | Eu chamei o RH para confirmar os dados do colaborador.
I knocked on Finance to validate the numbers. | Eu acionei o Financeiro para validar os números.
I knocked on IT to check system access. | Eu acionei o TI para checar o acesso ao sistema.
I knocked on the vendor to get an update. | Eu acionei o fornecedor para ter uma atualização.
I knocked on my manager to unblock the approval. | Eu falei com meu gestor para destravar a aprovação.
A moment later, I received the approval email. | Um momento depois, eu recebi o e-mail de aprovação.
A moment later, the employee sent the document. | Um momento depois, o colaborador enviou o documento.
A moment later, the system was back online. | Um momento depois, o sistema voltou.
A moment later, the updated file appeared in the folder. | Um momento depois, o arquivo atualizado apareceu na pasta.
A moment later, the issue was confirmed by the vendor. | Um momento depois, o fornecedor confirmou o problema.
Hi, how are you? | Oi, tudo bem?
Good morning. | Bom dia.
Good afternoon. | Boa tarde.
Good evening. | Boa noite.
Nice to meet you. | Prazer em conhecer você.
I’m from Brazil. | Eu sou do Brasil.
I’m here for work. | Eu estou aqui a trabalho.
I’m here on vacation. | Eu estou aqui de férias.
Here is my passport. | Aqui está meu passaporte.
Where is immigration? | Onde fica a imigração?
Where is baggage claim? | Onde fica a retirada de bagagem?
I lost my luggage. | Eu perdi minha bagagem.
Can you help me, please? | Você pode me ajudar, por favor?
Where is the restroom? | Onde fica o banheiro?
Where can I get a taxi? | Onde eu pego um táxi?
Where is the rideshare pickup? | Onde fica o local de embarque do aplicativo?
I need to go to this address. | Eu preciso ir para este endereço.
How much is it to downtown? | Quanto custa até o centro?
Can you take me to this hotel? | Você pode me levar a este hotel?
Please stop here. | Por favor, pare aqui.
How long does it take? | Quanto tempo leva?
I’m looking for the subway. | Eu estou procurando o metrô.
Which line do I take? | Qual linha eu pego?
Where is this stop? | Onde é essa parada?
I have a reservation. | Eu tenho uma reserva.
I’d like to check in. | Eu gostaria de fazer check-in.
I’d like to check out. | Eu gostaria de fazer check-out.
Can I get the room key? | Posso pegar a chave do quarto?
What time is breakfast? | Que horas é o café da manhã?
Is Wi-Fi included? | O Wi-Fi está incluso?
Can you write it down? | Você pode escrever, por favor?
The air conditioner isn’t working. | O ar-condicionado não está funcionando.
I need clean towels. | Eu preciso de toalhas limpas.
Can I have a receipt, please? | Você pode me dar um recibo, por favor?
I’m hungry. | Eu estou com fome.
I’m thirsty. | Eu estou com sede.
Do you have a menu? | Você tem um cardápio?
Can I get a table for one? | Posso pegar uma mesa para uma pessoa?
Can I get a table for two? | Posso pegar uma mesa para duas pessoas?
Can I see the specials? | Posso ver as opções do dia?
I’ll have this one. | Eu vou querer este.
I’d like a coffee, please. | Eu gostaria de um café, por favor.
I’d like water, please. | Eu gostaria de água, por favor.
Still or sparkling? | Sem gás ou com gás?
No ice, please. | Sem gelo, por favor.
Can I get the bill, please? | Posso pegar a conta, por favor?
Can I pay by card? | Posso pagar no cartão?
Do you take cash? | Você aceita dinheiro?
Could you make it to go? | Você pode fazer para viagem?
I’m allergic to nuts. | Eu tenho alergia a castanhas - amendoim.
No dairy, please. | Sem lactose - leite, por favor.
No spicy, please. | Sem pimenta, por favor.
That’s all, thank you. | É só isso, obrigado.
Where is the nearest grocery store? | Onde fica o mercado mais perto?
I’m just looking. | Eu só estou olhando.
How much is this? | Quanto custa isto?
Do you have a smaller size? | Você tem um tamanho menor?
Do you have a larger size? | Você tem um tamanho maior?
Can I try it on? | Posso experimentar?
Where is the fitting room? | Onde fica o provador?
Can I get a refund? | Posso pedir reembolso?
Can I exchange this? | Posso trocar isto?
I need a SIM card. | Eu preciso de um chip.
I need an eSIM. | Eu preciso de um eSIM.
Do you have a charger? | Você tem carregador?
What’s the Wi-Fi password? | Qual é a senha do Wi-Fi?
My phone has no signal. | Meu celular está sem sinal.
Can you call me an Uber? | Você pode chamar um Uber para mim?
I need help right now. | Eu preciso de ajuda agora.
It’s an emergency. | É uma emergência.
Call the police, please. | Chame a polícia, por favor.
Call an ambulance, please. | Chame uma ambulância, por favor.
I don’t feel well. | Eu não estou me sentindo bem.
Where is the nearest pharmacy? | Onde fica a farmácia mais perto?
I need a doctor. | Eu preciso de um médico.
I’m lost. | Eu estou perdido.
Can you show me on the map? | Você pode me mostrar no mapa?
Could you speak more slowly? | Você pode falar mais devagar?
Sorry, I don’t understand. | Desculpa, eu não entendi.
Can you repeat that? | Você pode repetir?
Can you say that again? | Você pode dizer de novo?
That’s perfect. | Perfeito.
That works for me. | Para mim, está ótimo.
See you later. | Até mais.
Have a nice day. | Tenha um bom dia.
I’m looking for a job. | Eu estou procurando um emprego.
Are you hiring? | Vocês estão contratando?
Do you have any openings? | Vocês têm alguma vaga?
Can I schedule an interview? | Posso agendar uma entrevista?
I can work full-time. | Eu posso trabalhar em tempo integral.
I can work part-time. | Eu posso trabalhar meio período.
I have experience in payroll. | Eu tenho experiência em folha de pagamento.
I can start immediately. | Eu posso começar imediatamente.
Here is my resume. | Aqui está meu currículo.
Can I speak with the manager? | Posso falar com o gerente?
I’d like to apply for this position. | Eu gostaria de me candidatar para essa vaga.
What are the working hours? | Quais são os horários de trabalho?
What is the pay rate? | Qual é o valor do pagamento por hora - salário?
Thank you for your time. | Obrigado pelo seu tempo.
Be |ser - estar.
I’ll be there in 5 minutes. | Eu chego em 5 minutos.
I’m not sure, but I’ll check. | Eu não tenho certeza, mas vou verificar.
It’s been a busy week. | Foi uma semana corrida.
Let’s be clear about the goal. | Vamos deixar claro o objetivo.
I’ll be honest with you. | Vou ser sincero com você.


Do you have a minute? | Você tem um minuto?
I have a quick question. | Eu tenho uma pergunta rápida.
I don’t have the latest version. | Eu não tenho a versão mais recente.
We have a deadline today. | A gente tem um prazo hoje.
I have everything I need. | Eu tenho tudo o que preciso.

I’ll do it right now. | Eu faço agora.
What should we do next? | O que a gente faz agora?
I did a quick check. | Eu fiz uma conferência rápida.
Let’s do a quick review. | Vamos fazer uma revisão rápida.
I can do that for you. | Eu posso fazer isso pra você.

Just say the word. | É só dizer.
What did you say about the date? | O que você disse sobre a data?
Let me say it again. | Deixa eu falar de novo.
I’m just saying. | Só estou dizendo.
Say it one more time, please. | Diga mais uma vez, por favor.


I’ll get back to you today. | Eu te retorno hoje.
Did you get my email? | Você recebeu meu e-mail?
Let’s get this done. | Vamos resolver isso.
I need to get approval first. | Eu preciso da aprovação primeiro.
Can you get me the file? | Você consegue pegar o arquivo pra mim?

Let’s make a decision. | Vamos tomar uma decisão.
Can you make a small change? | Você pode fazer uma pequena alteração?
I want to make sure it’s correct. | Eu quero ter certeza de que está correto.
That makes sense. | Isso faz sentido.
Let’s make it simple. | Vamos deixar isso simples.

I have to go now. | Eu tenho que ir agora.
Let’s go over the details. | Vamos passar pelos detalhes.
Where should this go? | Para onde isso deve ir?
I’ll go check. | Eu vou checar.
Let’s go with option A. | Vamos com a opção A.

Let me know when you can. | Me avisa quando você puder.
Do you know the status? | Você sabe o status?
I don’t know yet. | Eu ainda não sei.
Just so you know… | Só para você saber…
I want you to know I’m on it. | Quero que você saiba que estou cuidando.

Please take a look. | Por favor, dê uma olhada.
I’ll take care of it. | Eu vou cuidar disso.
Can you take this call? | Você pode atender essa ligação?
Let’s take a quick break. | Vamos fazer uma pausa rápida.
I’ll take the lead on this. | Eu vou liderar isso.

I see the issue now. | Eu vejo o problema agora.
Let me see what I can do. | Deixa eu ver o que eu posso fazer.
See you tomorrow. | Te vejo amanhã.
I’ll see if it’s possible. | Eu vou ver se é possível.
I didn’t see your message. | Eu não vi sua mensagem.

Can you come to the meeting? | Você pode entrar na reunião?
I’ll come back with an answer. | Eu volto com uma resposta.
This comes from Finance. | Isso vem do Financeiro.
It came up in the review. | Isso apareceu na revisão.
Come with me on this. | Vai comigo nessa.

I think this is correct. | Eu acho que isso está correto.
What do you think? | O que você acha?
I don’t think it will work. | Eu não acho que vai funcionar.
Let me think for a second. | Deixa eu pensar um segundo.
I think we should confirm first. | Eu acho que a gente deve confirmar antes.


I’ll look into it. | Eu vou verificar isso.
Can you look at this? | Você pode olhar isso?
It looks good to me. | Pra mim, parece bom.
Look at the last line. | Olha a última linha.
I’m looking for the file. | Eu estou procurando o arquivo.


I want to be clear. | Eu quero ser claro.
I want to confirm the value. | Eu quero confirmar o valor.
I want to avoid mistakes. | Eu quero evitar erros.
Do you want me to send it? | Você quer que eu envie?
I want to align on the plan. | Eu quero alinhar o plano.


Can you give me a minute? | Você pode me dar um minuto?
Give me a quick update. | Me dá uma atualização rápida.
I’ll give you a call. | Eu te ligo.
Can you give me access? | Você pode me dar acesso?
I’ll give you the final version. | Eu te envio a versão final.

We can use this template. | A gente pode usar esse modelo.
I usually use this report. | Eu geralmente uso esse relatório.
Use the latest file. | Use o arquivo mais recente.
How do you use this tool? | Como você usa essa ferramenta?
Let’s use a simple approach. | Vamos usar uma abordagem simples.

I found the issue. | Eu encontrei o problema.
Can you find the email? | Você consegue achar o e-mail?
I can’t find the file. | Eu não consigo achar o arquivo.
Let’s find a solution. | Vamos achar uma solução.
We found a better way. | A gente encontrou um jeito melhor.
Tell |dizer - contar.
Tell me the deadline. | Me diga o prazo.
I’ll tell you what I know. | Eu te digo o que eu sei.
Can you tell me the status? | Você pode me dizer o status?
Just tell me when. | Só me diga quando.
Tell me if you need help. | Me avise se precisar de ajuda.
Ask |perguntar
Can I ask a quick question? | Posso fazer uma pergunta rápida?
Ask Finance to confirm. | Peça para o Financeiro confirmar.
I’ll ask the vendor. | Eu vou perguntar para o fornecedor.
Don’t be afraid to ask. | Não tenha medo de perguntar.
Should I ask now or later? | Eu pergunto agora ou depois?
Work |trabalhar - funcionar.
I’m working on it. | Eu estou cuidando disso.
It’s not working. | Não está funcionando.
This works for me. | Para mim, funciona.
We need to work together. | A gente precisa trabalhar junto.
What time works for you? | Que horário funciona para você?
Can we talk later? | Podemos falar depois?
Can you help me? | Você pode me ajudar?
Can you repeat, please? | Pode repetir, por favor?
Could you explain that? | Você pode me explicar isso?
How does it work? | Como isso funciona?
I agree with you. | Eu concordo com você.
I appreciate it. | Eu agradeço  -  Agradeço isso.
I don’t agree with that. | Eu não concordo com isso.
I don’t have time right now. | Não tenho tempo agora.
I don’t understand. | Eu não entendi.
I just wanted to check. | Eu só queria confirmar - verificar.
I need to talk to you. | Eu preciso falar com você.
I’ll call you back. | Te ligo de volta.
I’ll get back to you. | Te dou um retorno.
I’ll handle it. | Eu resolvo isso.
I’ll let you know. | Te aviso.
I’ll send you an email. | Vou te mandar um e-mail.
I’ll take care of it. | Eu cuido disso.
I’m in a meeting. | Estou em reunião.
I’m not sure. | Não tenho certeza.
I’m running late. | Estou atrasado.
I’m working on it. | Estou trabalhando nisso.
It depends. | Depende.
It’s almost done. | Está quase pronto.
It’s done. | Está feito.
It’s ready. | Está pronto.
Just a moment, please. | Só um momento, por favor.
Let me check. | Deixa eu verificar.
Let me think about it. | Deixa eu pensar sobre isso.
Let’s do it. | Vamos fazer isso.
Let’s move forward. | Vamos seguir em frente.
Let’s see. | Vamos ver.
No problem at all. | Sem problema nenhum.
Sorry for the delay. | Desculpa pela demora.
Thanks for letting me know. | Obrigado por me avisar.
That makes sense. | Faz sentido.
That’s a good idea. | Essa é uma boa ideia.
That’s not a good idea. | Essa não é uma boa ideia.
That’s not my responsibility. | Isso não é responsabilidade minha.
This can wait. | Isso pode esperar.
This is urgent. | Isso é urgente.
We need to decide. | Precisamos decidir.
We need to fix this. | Precisamos corrigir isso.
We’re on the same page. | Estamos alinhados.
What do you mean? | O que você quer dizer?
What do you need? | O que você precisa?
What’s going on? | O que está acontecendo?
What’s the deadline? | Qual é o prazo?
What’s the plan? | Qual é o plano?
What’s the problem? | Qual é o problema?
Can we talk later? | Podemos falar depois?
Can you explain this? | Você pode me explicar isso?
Can you repeat, please? | Pode repetir, por favor?
Could you send me this by email? | Você pode me mandar isso por e-mail?
Everything is fine. | Está tudo certo.
How does it work? | Como isso funciona?
I agree with you. | Eu concordo com você.
I appreciate it. | Eu agradeço.
I don’t agree with that. | Eu não concordo com isso.
I don’t have time right now. | Não tenho tempo agora.
I don’t understand. | Eu não entendi.
I just wanted to check. | Eu só queria confirmar.
I need your help. | Eu preciso da sua ajuda.
I’ll call you back. | Te ligo de volta.
I’ll get back to you. | Te dou um retorno.
I’ll handle it. | Eu resolvo isso.
I’ll let you know. | Te aviso.
I’ll send it to you. | Vou te enviar isso.
I’ll take care of it. | Eu cuido disso.
I’m in a meeting. | Estou em reunião.
I’m not sure. | Não tenho certeza.
I’m working on it. | Estou trabalhando nisso.
It depends. | Depende.
It’s almost done. | Está quase pronto.
It’s done. | Está feito.
It’s not a big deal. | Não é nada demais.
It’s ready. | Está pronto.
Just a moment, please. | Só um momento, por favor.
Let me check. | Deixa eu verificar.
Let me think about it. | Deixa eu pensar sobre isso.
Let’s do it. | Vamos fazer isso.
Let’s move forward. | Vamos seguir em frente.
Let’s see. | Vamos ver.
No problem at all. | Sem problema nenhum.
See you later. | Te vejo depois.
Sorry for the delay. | Desculpa pela demora.
Thanks for letting me know. | Obrigado por me avisar.
That makes sense. | Faz sentido.
That’s a good idea. | Essa é uma boa ideia.
That’s not a good idea. | Essa não é uma boa ideia.
This can wait. | Isso pode esperar.
This is urgent. | Isso é urgente.
We need to decide. | Precisamos decidir.
We need to fix this. | Precisamos corrigir isso.
We’re on the same page. | Estamos alinhados.
What do you mean? | O que você quer dizer?
What do you need? | O que você precisa?
What’s the deadline? | Qual é o prazo?
What’s the plan? | Qual é o plano?
What’s the problem? | Qual é o problema?
I already opened a ticket. | Eu já abri um chamado.
I need to check this case. | Preciso verificar esse caso.
I’ll check this in ADP. | Vou verificar isso no ADP.
I’ll send you the report. | Vou te enviar o relatório.
I’ll update the employee’s record. | Vou atualizar o cadastro do colaborador.
IT is working on it. | O time de TI está trabalhando nisso.
Payroll is already closed. | A folha já está fechada.
The calculation is wrong. | O cálculo está errado.
The employee can see it in the portal. | O colaborador pode ver no portal.
The employee was hired this month. | O colaborador foi admitido este mês.
The employee was terminated. | O colaborador foi desligado.
The numbers look correct. | Os números parecem corretos.
The payment date is tomorrow. | A data de pagamento é amanhã.
The payment will be made today. | O pagamento será feito hoje.
The payslip is available. | O holerite já está disponível.
The salary is incorrect. | O salário está incorreto.
The termination is under review. | A rescisão está em revisão.
There is a difference here. | Tem uma diferença aqui.
There is an issue with this employee. | Tem um problema com este colaborador.
This amount is missing. | Está faltando esse valor.
This case is on hold. | Esse caso está em espera.
This change will apply next payroll. | Essa mudança vai entrar na próxima folha.
This is a benefits issue. | Isso é um problema de benefícios.
This is a one-time payment. | Isso é um pagamento pontual.
This is a recurring payment. | Isso é um pagamento recorrente.
This is a system issue. | Isso é um problema de sistema.
This is already in the system. | Isso já está no sistema.
This is compliant. | Isso está em conformidade.
This is not a payroll issue. | Isso não é um problema de folha.
This is not compliant. | Isso não está em conformidade.
This is not in the system yet. | Isso ainda não está no sistema.
This is out of scope. | Isso está fora do escopo.
This is pending approval. | Isso está pendente de aprovação.
This needs to be adjusted. | Isso precisa ser ajustado.
This was not included in payroll. | Isso não entrou na folha.
This will be paid next month. | Isso será pago no próximo mês.
This will be processed next cycle. | Isso será processado no próximo ciclo.
We can’t change this after closing. | Não podemos mudar isso depois do fechamento.
We need approval for this. | Precisamos de aprovação para isso.
We need to align this with HR. | Precisamos alinhar isso com o RH.
We need to check with Finance. | Precisamos ver com o Financeiro.
We need to double-check this. | Precisamos conferir isso novamente.
We need to fix this in the system. | Precisamos corrigir isso no sistema.
We need to follow up on this. | Precisamos fazer follow-up disso.
We need to open a ticket. | Precisamos abrir um chamado.
We need to recalculate this. | Precisamos recalcular isso.
We’re closing payroll. | Estamos fechando a folha.
We’re processing the termination. | Estamos processando a rescisão.
We’re reviewing the numbers. | Estamos revisando os números.
We’re waiting for documents. | Estamos aguardando documentos.
What’s the plan for our flight? | Qual é o plano para o nosso voo?
What was the plan for our flight? | Qual era o plano para o nosso voo?
I introduced myself confidently. | Eu me apresentei com confiança.
I had solid experience in HR operations. | Eu tive sólida experiência em operações de RH.
I specialized in payroll management. | Eu me especializei em gestão de folha.
I focused on process improvement. | Eu foquei em melhoria de processos.
I worked with compliance and labor laws. | Eu trabalhei com compliance e legislação trabalhista.
I led payroll operations end-to-end. | Eu liderei operações de folha ponta a ponta.
I implemented system improvements. | Eu implementei melhorias no sistema.
I optimized internal workflows. | Eu otimizei fluxos internos.
I reduced operational risks. | Eu reduzi riscos operacionais.
I improved efficiency across departments. | Eu melhorei a eficiência entre departamentos.
I worked with cross-functional teams. | Eu trabalhei com equipes multifuncionais.
I handled complex payroll structures. | Eu lidei com estruturas complexas de folha.
I ensured compliance with regulations. | Eu garanti conformidade com regulamentações.
I automated manual processes. | Eu automatizei processos manuais.
I developed performance dashboards. | Eu desenvolvi dashboards de desempenho.
I monitored KPIs regularly. | Eu monitorei KPIs regularmente.
I aligned HR strategy with business goals. | Eu alinhei a estratégia de RH com os objetivos do negócio.
I supported leadership decisions. | Eu apoiei decisões da liderança.
I managed multiple stakeholders. | Eu gerenciei múltiplas partes interessadas.
I improved reporting accuracy. | Eu melhorei a precisão dos relatórios.
I streamlined payroll cycles. | Eu simplifiquei ciclos de folha.
I reviewed operational gaps. | Eu revisei lacunas operacionais.
I introduced performance metrics. | Eu introduzi métricas de desempenho.
I handled sensitive information carefully. | Eu lidei com informações sensíveis cuidadosamente.
I built structured processes. | Eu construí processos estruturados.
I ensured timely deliveries. | Eu garanti entregas no prazo.
I improved internal communication. | Eu melhorei a comunicação interna.
I reduced processing time. | Eu reduzi o tempo de processamento.
I led implementation projects. | Eu liderei projetos de implementação.
I coordinated external vendors. | Eu coordenei fornecedores externos.
I resolved compliance issues. | Eu resolvi questões de compliance.
I analyzed workforce data. | Eu analisei dados da força de trabalho.
I supervised HR operations. | Eu supervisionei operações de RH.
I improved data visibility. | Eu melhorei a visibilidade dos dados.
I supported executive reporting. | Eu apoiei relatórios executivos.
I strengthened internal controls. | Eu fortaleci controles internos.
I managed benefit programs. | Eu gerenciei programas de benefícios.
I worked under tight deadlines. | Eu trabalhei sob prazos apertados.
I delivered consistent results. | Eu entreguei resultados consistentes.
I ensured data accuracy. | Eu garanti a precisão dos dados.
I contributed to strategic planning. | Eu contribuí para o planejamento estratégico.
I aligned processes with company standards. | Eu alinhei processos com padrões da empresa.
I improved system integrations. | Eu melhorei integrações de sistemas.
I reduced manual errors. | Eu reduzi erros manuais.
I monitored labor costs. | Eu monitorei custos trabalhistas.
I ensured smooth transitions. | Eu garanti transições suaves.
I developed improvement plans. | Eu desenvolvi planos de melhoria.
I drove operational excellence. | Eu conduzi excelência operacional.
I took ownership of my responsibilities. | Eu assumi responsabilidade pelas minhas funções.
I improved team coordination. | Eu melhorei a coordenação da equipe.
I started my career in HR operations. | Eu comecei minha carreira em operações de RH.
I built my background in payroll management. | Eu construí minha base em gestão de folha.
I focused my career on process improvement. | Eu foquei minha carreira em melhoria de processos.
I specialized in payroll and compliance. | Eu me especializei em folha e compliance.
I worked in complex HR environments. | Eu trabalhei em ambientes complexos de RH.
I developed strong expertise in labor regulations. | Eu desenvolvi forte expertise em legislação trabalhista.
I led payroll operations for multiple entities. | Eu liderei operações de folha para múltiplas empresas.
I improved internal HR processes. | Eu melhorei processos internos de RH.
I implemented automation in payroll routines. | Eu implementei automação em rotinas de folha.
I reduced operational risks through compliance controls. | Eu reduzi riscos operacionais por meio de controles de compliance.
I worked closely with finance and leadership teams. | Eu trabalhei de perto com equipes de finanças e liderança.
I optimized payroll workflows. | Eu otimizei fluxos de folha.
I introduced data-driven decision models. | Eu introduzi modelos de decisão baseados em dados.
I strengthened reporting accuracy. | Eu fortaleci a precisão dos relatórios.
I supported strategic HR initiatives. | Eu apoiei iniciativas estratégicas de RH.
I developed dashboards to monitor KPIs. | Eu desenvolvi dashboards para monitorar KPIs.
I aligned HR operations with business strategy. | Eu alinhei operações de RH com a estratégia do negócio.
I handled full-cycle payroll processes. | Eu gerenciei processos completos de folha.
I managed benefits and compliance structures. | Eu gerenciei estruturas de benefícios e compliance.
I improved cost control mechanisms. | Eu melhorei mecanismos de controle de custos.
I automated manual reporting tasks. | Eu automatizei tarefas manuais de relatório.
I enhanced workforce data visibility. | Eu aumentei a visibilidade de dados da força de trabalho.
I supervised payroll transitions and implementations. | Eu supervisionei transições e implementações de folha.
I coordinated cross-department projects. | Eu coordenei projetos entre departamentos.
I implemented internal control frameworks. | Eu implementei estruturas de controle interno.
I improved payroll processing time. | Eu melhorei o tempo de processamento da folha.
I analyzed labor cost structures. | Eu analisei estruturas de custo trabalhista.
I supported executive-level reporting. | Eu apoiei relatórios de nível executivo.
I introduced standardized HR procedures. | Eu introduzi procedimentos padronizados de RH.
I worked in high-volume payroll environments. | Eu trabalhei em ambientes de folha de alto volume.
I ensured compliance with labor audits. | Eu garanti conformidade em auditorias trabalhistas.
I strengthened benefit administration processes. | Eu fortaleci processos de administração de benefícios.
I implemented payroll system upgrades. | Eu implementei atualizações de sistema de folha.
I managed stakeholder expectations effectively. | Eu gerenciei expectativas de partes interessadas de forma eficaz.
I improved internal communication flows. | Eu melhorei fluxos de comunicação interna.
I supported mergers and integrations. | Eu apoiei fusões e integrações.
I structured payroll governance processes. | Eu estruturei processos de governança de folha.
I optimized HR operational efficiency. | Eu otimizei a eficiência operacional de RH.
I developed automation tools in HR. | Eu desenvolvi ferramentas de automação em RH.
I implemented BI solutions for payroll. | Eu implementei soluções de BI para folha.
I enhanced compliance monitoring systems. | Eu melhorei sistemas de monitoramento de compliance.
I worked on large-scale HR transformation projects. | Eu trabalhei em projetos de transformação de RH em larga escala.
I introduced performance tracking models. | Eu introduzi modelos de acompanhamento de desempenho.
I improved accuracy in financial reporting. | Eu melhorei a precisão nos relatórios financeiros.
I optimized vendor management processes. | Eu otimizei processos de gestão de fornecedores.
I reduced manual workload through automation. | Eu reduzi carga manual por meio de automação.
I built scalable HR operational models. | Eu construí modelos operacionais de RH escaláveis.
I aligned payroll systems with compliance standards. | Eu alinhei sistemas de folha com padrões de compliance.
I improved operational transparency. | Eu melhorei a transparência operacional.
I positioned HR as a strategic partner. | Eu posicionei o RH como parceiro estratégico.
Hi, how are you doing? | Oi, como você estava?
Nice to meet you. | Foi um prazer te conhecer.
Where are you from? | De onde você era?
What do you do? | O que você fazia?
How was your day? | Como foi o seu dia?
What are you working on? | Em que você estava trabalhando?
That sounds interesting. | Isso pareceu interessante.
I see what you mean. | Eu entendi o que você quis dizer.
Really? Tell me more. | Sério? Me contou mais.
That makes sense. | Isso fez sentido.
I agree with you. | Eu concordei com você.
I’m not sure about that. | Eu não tive certeza sobre isso.
What do you think? | O que você achou?
How long have you been here? | Há quanto tempo você estava aqui?
Is this your first time here? | Foi sua primeira vez aqui?
What brought you here? | O que te trouxe aqui?
That’s a good question. | Essa foi uma boa pergunta.
Let me think about that. | Eu pensei sobre isso.
It depends on the situation. | Dependeu da situação.
I’ve been busy lately. | Eu estive ocupado ultimamente.
Things have been hectic. | As coisas estiveram agitadas.
I totally understand. | Eu entendi totalmente.
That’s interesting. | Isso foi interessante.
I didn’t know that. | Eu não sabia disso.
That’s true. | Isso foi verdade.
I appreciate that. | Eu apreciei isso.
No worries. | Não houve problema.
It happens. | Isso aconteceu.
Let’s catch up soon. | Nós combinamos de conversar em breve.
What’s new with you? | O que houve de novo com você?
How have you been? | Como você esteve?
I’ve been doing well. | Eu estive bem.
Not much, just working. | Nada demais, só estive trabalhando.
Sounds good to me. | Isso soou bom para mim.
That’s great to hear. | Foi ótimo ouvir isso.
I’m glad you said that. | Eu fiquei feliz que você disse isso.
I was thinking the same thing. | Eu estava pensando a mesma coisa.
Can you explain that again? | Você explicou isso novamente?
I didn’t catch that. | Eu não entendi isso.
Could you repeat that? | Você repetiu isso?
That’s exactly what I meant. | Isso foi exatamente o que eu quis dizer.
What’s your opinion on that? | Qual foi sua opinião sobre isso?
I’ve heard about that before. | Eu já tinha ouvido falar disso antes.
That sounds like a good idea. | Isso pareceu uma boa ideia.
I’m just curious about that. | Eu fiquei curioso sobre isso.
That’s a fair point. | Esse foi um ponto justo.
I didn’t expect that. | Eu não esperava isso.
That surprised me. | Isso me surpreendeu.
Let’s see what happens. | Nós vimos o que aconteceu.
It was nice talking to you. | Foi bom conversar com você.
Hey, what’s up? | Ei, o que estava acontecendo?
Not much, how about you? | Nada demais, e você?
I’m just checking in. | Eu estava apenas dando uma passada.
That’s cool. | Isso foi legal.
Sounds good. | Isso soou bom.
I get what you’re saying. | Eu entendi o que você estava dizendo.
That makes total sense. | Isso fez total sentido.
I’m with you on that. | Eu concordei com você nisso.
Fair enough. | Foi justo.
I didn’t think about that. | Eu não tinha pensado nisso.
That’s a good point. | Esse foi um bom ponto.
I’m not gonna lie. | Eu não ia mentir.
To be honest… | Para ser honesto…
That’s kind of interesting. | Isso foi meio interessante.
I’m kinda tired today. | Eu estava meio cansado hoje.
I’m just saying. | Eu só estava dizendo.
It is what it is. | Foi o que foi.
No big deal. | Não foi grande coisa.
That’s on me. | A culpa foi minha.
My bad. | Foi erro meu.
Give me a second. | Me deu um segundo.
Hold on a minute. | Espereu um minuto.
Let me check. | Eu verifiquei.
I’ll take a look. | Eu dei uma olhada.
That works for me. | Isso funcionou para mim.
I’m good with that. | Eu fiquei bem com isso.
Sounds like a plan. | Isso pareceu um plano.
I’m down for that. | Eu aceitei isso.
Why not? | Por que não?
Let’s do it. | Nós fizemos isso.
I’m just curious. | Eu estava apenas curioso.
I was wondering… | Eu estava me perguntando…
That caught my attention. | Isso chamou minha atenção.
I see your point. | Eu vi seu ponto.
I hadn’t thought of that. | Eu não tinha pensado nisso.
That’s interesting actually. | Isso foi interessante na verdade.
I get it now. | Eu entendi agora.
Makes sense now. | Fez sentido agora.
I’m still figuring that out. | Eu ainda estava entendendo isso.
I’m working on it. | Eu estava trabalhando nisso.
That’s a good question actually. | Essa foi uma boa pergunta na verdade.
I appreciate that. | Eu apreciei isso.
I’m glad you said that. | Eu fiquei feliz que você disse isso.
I totally agree. | Eu concordei totalmente.
I’m not sure yet. | Eu ainda não tinha certeza.
We’ll see. | Nós vimos.
Let’s see how it goes. | Nós vimos como foi.
I’m open to that. | Eu estive aberto a isso.
That’s interesting to know. | Foi interessante saber disso.
Good to know. | Foi bom saber.
Hi, this is Anderson speaking. | Oi, aqui foi o Anderson falando.
I’m calling regarding the payroll update. | Eu liguei sobre a atualização da folha.
Is this a good time to talk? | Foi um bom momento para conversar?
Can you hear me clearly? | Você conseguiu me ouvir claramente?
Sorry, the line is a bit unclear. | Desculpe, a linha esteve um pouco ruim.
Could you repeat that, please? | Você repetiu isso, por favor?
I didn’t catch that. | Eu não entendi isso.
Can you speak a little slower? | Você falou um pouco mais devagar?
Let me clarify something. | Eu esclareci algo.
I just wanted to confirm the details. | Eu só quis confirmar os detalhes.
I’m following up on our previous conversation. | Eu retornei sobre nossa conversa anterior.
I’m calling to schedule a meeting. | Eu liguei para agendar uma reunião.
Are you available tomorrow? | Você esteve disponível amanhã?
Let me check my calendar. | Eu verifiquei minha agenda.
I’ll get back to you shortly. | Eu retornei para você em breve.
I’ll send you an email after this call. | Eu enviei um e-mail após essa ligação.
